Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Miscellaneous,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population)
Cambodia,0.4817,14.6494,0.0153,0,25.843,0.2982,10.2607,0.2982,3.2571,0.3441,0.474,4.5722,2.2173,0.1988,0.5046,0.0535,0.0153,0,0.0382,35.3544,0,0.8946,0.2294,3.5,16.4,0.003058657,0,0.002929599,0.000129057,15497000,%
Cameroon,0.5688,8.1066,0.0144,0,19.7696,0.072,3.4197,1.5119,3.4845,0.8063,0.3168,3.8301,8.9777,0.8567,3.3261,0.1008,0,0,0.3168,41.8934,0.0072,2.5414,0.0792,9.5,9.9,0.118031431,0.001782089,0.110914354,0.005334988,26598000,%
Canada,0.3458,25.1828,0.6868,0.0049,12.9249,2.0553,2.8755,0.6868,13.7253,5.7905,0.0445,2.416,3.7451,0.1532,1.3785,0.6374,0,0.0099,0.5534,24.8172,0.084,1.5909,0.2915,31.3,<2.5,2.109960723,0.054202671,1.909848128,NA,38190000,%
Central African Republic,0.2045,21.8538,0.0969,0,8.8276,0.1507,2.433,1.0012,15.3192,1.6363,2.2069,3.6064,5.5765,0.0108,7.7726,0.3876,0,0.0431,0,28.1516,0,0.689,0.0323,6.3,59.6,0.103291925,0.001304348,0.101138716,0.000848861,4830000,%
Chad,0.0567,15.4353,0.0425,0,22.6744,0.0709,2.2689,0.0993,7.4872,2.7723,2.8006,6.6931,3.7365,0,1.1132,0.0142,0,0,0,34.5576,0,0.1631,0.0142,4.8,37.5,0.020578302,0.000740653,0.016880962,0.002956687,16877000,%
Chile,0.2314,25.6899,0.1016,0,17.7775,1.6141,2.0374,0.4966,16.5077,5.226,0.1919,0.4571,1.3996,0.0282,1.8285,0.316,0,0,0.2653,24.3185,0.0169,1.4222,0.0734,28.8,2.7,3.84222907,0.097046739,3.626194145,NA,19470000,%
China,0.1648,30.6446,0.0471,0.0515,10.8868,2.7059,5.9326,0.437,16.3074,2.4705,3.1282,1.7892,0.3149,0.0765,0.5253,0.387,0.0015,0.0088,0.6092,19.3546,0.0059,3.6829,0.4679,6.6,8.5,0.007155524,0.000343843,0.006685183,0.000126499,1402385000,%
Colombia,0.2626,25.6945,0.0346,0,15.038,2.3981,1.4444,2.1493,12.4395,8.4243,0.9468,0.6496,2.3497,0.1106,1.8037,0.1313,0.0138,0.4699,0.2211,24.3124,0.0346,0.9883,0.0829,22.1,4.8,4.350794839,0.112638541,4.090144406,0.148011892,49444000,%
Congo,0.7335,23.8551,0.0089,0,13.2021,0.1431,7.898,0.9034,13.5599,0.5725,1.6726,1.7531,1.61,0.0089,4.9732,0.0716,0,0,0.0089,26.1449,0.0179,2.7102,0.1521,8.4,40.3,0.57167452,0.014516129,0.379720913,0.177437477,5518000,%
Costa Rica,0.0739,28.0821,0.0739,0,12.6794,1.7744,3.5672,0.8441,10.3814,11.7861,0.499,1.4602,4.2943,0.1047,0.6099,0.5545,0,0.0123,0.1417,21.921,0.0062,1.0351,0.0986,25.7,4.8,3.843435727,0.052279397,3.055781647,0.735374682,5111000,%
Cote d'Ivoire,0.1859,11.5833,0,0,20.0997,0.49,4.5708,1.0983,4.4187,0.6506,1.4447,2.2727,1.1406,0.4309,9.4627,1.4109,0,0,0.997,38.4167,0.0084,1.2842,0.0338,9,19,0.11295893,0.000618911,0.106105062,0.006234957,26175000,%
Croatia,0.642,29.7692,0.1162,0,13.4872,1.3061,3.1767,0.5811,12.7677,11.4561,0.9408,0.5866,0.2601,0.0775,0.8966,0.9242,0,0.0387,0.249,20.2335,0.0221,2.4683,0,27.1,<2.5,5.848905473,0.127960199,5.648706468,0.072238806,4020000,%
Cuba,0.1187,18.4193,0.0057,0,17.5712,1.3795,0.8706,1.1703,11.1771,4.3024,0.6841,2.6063,6.5242,0.0283,1.2438,0.1753,0,0,0,31.5807,0,2.1088,0.0339,26.7,<2.5,0.283760305,0.00206542,0.230821736,0.05087315,11281000,%
Cyprus,0.2117,28.43,0.0436,0,13.695,1.4698,4.2661,0.8657,14.6478,7.3613,0.6352,1.1335,1.1335,0.081,0.5418,0.6415,0,0.0062,0.4048,21.5669,0.0125,2.1548,0.6975,22.6,5.6,2.621706711,0.017481359,0.170422535,2.433802817,1207000,%
Czechia,1.1737,30.7412,0.3469,0,12.3208,1.4801,1.5611,0.5608,14.7375,11.9392,0.6765,0.3238,0.7227,0.0925,1.5842,0.5666,0,0.0173,0.2024,19.2588,0.0578,1.4801,0.1561,28.5,<2.5,9.612840612,0.159845091,8.555328481,0.89766704,10716000,%
Denmark,0.3937,32.3912,0.4246,0,12.04,2.3133,3.7288,0.5485,12.5265,12.009,1.3889,0.3185,0.1902,0.1902,0.9731,0.9245,0,0.0044,0.4423,17.6088,0.0575,1.526,0,21.3,<2.5,3.463218391,0.038016812,3.307359753,0.117841825,5829000,%
